"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/DivisionOperation.java","3","13","Parameter 'operand1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/DivisionOperation.java","3","13","Parameter 'operand2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/DivisionOperation.java","3","15","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","13","Parameter 'operand1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","13","Parameter 'operand2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","18","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","20","Local variable 'operatorIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","22","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"7","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","26","Local variable 'leftPart' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","27","Local variable 'rightPart' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","31","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"10","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","34","Local variable 'base' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","35","Local variable 'exponent' could be declared final","Code Style","LocalVariableCouldBeFinal"
"12","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","37","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"13","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ExponentOperation.java","3","38","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/FactorialOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/FactorialOperation.java","3","13","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/FactorialOperation.java","3","14","Local variable 'operatorIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/FactorialOperation.java","3","19","Parameter 'operand' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/FactorialOperation.java","3","21","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ModuloOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ModuloOperation.java","3","13","Parameter 'operand1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ModuloOperation.java","3","13","Parameter 'operand2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/ModuloOperation.java","3","15","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","13","Parameter 'operand1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","13","Parameter 'operand2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","18","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","20","Local variable 'operatorIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","22","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"7","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","26","Local variable 'leftPart' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","27","Local variable 'rightPart' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","31","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"10","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","34","Local variable 'operand1' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","35","Local variable 'operand2' could be declared final","Code Style","LocalVariableCouldBeFinal"
"12","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","37","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"13","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/MultiplicationOperation.java","3","38","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","6","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","9","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","14","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","15","Local variable 'caretIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","17","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","21","Local variable 'base' could be declared final","Code Style","LocalVariableCouldBeFinal"
"7","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","22","Local variable 'exponent' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","23","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"9","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeExponentOperation.java","3","24","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","6","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","9","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","14","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","15","Local variable 'starIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","17","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","21","Local variable 'first' could be declared final","Code Style","LocalVariableCouldBeFinal"
"7","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","22","Local variable 'second' could be declared final","Code Style","LocalVariableCouldBeFinal"
"8","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","23","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"9","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/NegativeMultiplicationOperation.java","3","24","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/OperationRegistry.java","3","13","Field comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/OperationRegistry.java","1","19","This method may call an overridable method during object construction: OperationRegistry.register(*Operation) (call stack: [OperationRegistry.registerDefaultOperations(), OperationRegistry.register(*Operation)])","Error Prone","ConstructorCallsOverridableMethod"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/OperationRegistry.java","3","25","Parameter 'operation' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/OperationRegistry.java","3","33","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/OperationRegistry.java","3","34","Local variable 'operation' could be declared final","Code Style","LocalVariableCouldBeFinal"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/OperationRegistry.java","3","36","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/SineOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/SineOperation.java","3","13","Parameter 'operand' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/SubtractionOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/SubtractionOperation.java","3","13","Parameter 'operand1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/SubtractionOperation.java","3","13","Parameter 'operand2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TangentOperation.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TangentOperation.java","3","13","Parameter 'operand' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TrigonometricOperation.java","3","8","Protected method constructor comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TrigonometricOperation.java","3","8","Parameter 'functionName' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TrigonometricOperation.java","3","13","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TrigonometricOperation.java","3","14","Local variable 'openParenIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TrigonometricOperation.java","3","14","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TrigonometricOperation.java","3","15","Local variable 'closeParenIndex' could be declared final","Code Style","LocalVariableCouldBeFinal"
"7","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TrigonometricOperation.java","3","15","String.indexOf(char) is faster than String.indexOf(String).","Performance","UseIndexOfChar"
"8","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TrigonometricOperation.java","3","18","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"9","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TrigonometricOperation.java","3","22","Local variable 'operandString' could be declared final","Code Style","LocalVariableCouldBeFinal"
"10","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TrigonometricOperation.java","3","23","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"11","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/TrigonometricOperation.java","3","24","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"1","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/UnaryOperation.java","3","7","Field comments are required","Documentation","CommentRequired"
"2","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/UnaryOperation.java","3","9","Protected method constructor comments are required","Documentation","CommentRequired"
"3","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/UnaryOperation.java","3","9","Parameter 'operatorSymbol' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/UnaryOperation.java","3","14","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/UnaryOperation.java","3","24","Parameter 'input' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","dev.codedok.operation","../../../Ressourcen/code/Calc/src/main/java/dev/codedok/operation/UnaryOperation.java","3","25","Local variable 'operand' could be declared final","Code Style","LocalVariableCouldBeFinal"
